	Th0_0.5h_1_1	Th0_14h_4_1	Th0_16h_1_1	Th0_16h_7_1	Th0_18h_5_1	Th0_1h_1_1	Th0_20h_5_1	Th0_20h_6_1	Th0_25h_6_1	Th0_2h_2_1	Th0_2h_7_1	Th0_30h_6_1	Th0_30h_9_1	Th0_36h_6_1	Th0_42h_6_1	Th0_42h_7_1	Th0_48h_6_1	Th0_4h_3_1	Th0_54h_6_1	Th0_54h_7_1	Th0_60h_6_1	Th0_72h_6_1	Th0_72h_7_1	Th0_8h_3_1	Th0_8h_8_1	Tr1_0.5h_1_1	Tr1_12h_4_1	Tr1_14h_4_1	Tr1_16h_1_1	Tr1_16h_7_1	Tr1_18h_5_1	Tr1_1h_1_1	Tr1_20h_5_1	Tr1_20h_6_1	Tr1_25h_6_1	Tr1_2h_2_1	Tr1_2h_7_1	Tr1_30h_6_1	Tr1_30h_9_1	Tr1_36h_6_1	Tr1_42h_6_1	Tr1_42h_7_1	Tr1_48h_6_1	Tr1_4h_3_1	Tr1_54h_6_1	Tr1_54h_7_1	Tr1_60h_6_1	Tr1_72h_6_1	Tr1_72h_7_1	Tr1_8h_3_1	Tr1_8h_8_1	Th0_0.5h_1_7	Th0_10h_1_7	Th0_10h_2_7	Th0_12h_1_7	Th0_16h_1_7	Th0_1h_1_7	Th0_1h_2_7	Th0_20h_1_7	Th0_20h_2_7	Th0_24h_1_7	Th0_2h_1_7	Th0_30h_1_7	Th0_30h_2_7	Th0_42h_1_7	Th0_42h_2_7	Th0_48h_1_7	Th0_4h_1_7	Th0_4h_2_7	Th0_50h_1_7	Th0_52h_1_7	Th0_52h_2_7	Th0_60h_1_7	Th0_60h_2_7	Th0_6h_1_7	Th0_72h_1_7	Th0_8h_1_7	Th17_0.5h_1_7	Th17_10h_1_7	Th17_10h_2_7	Th17_12h_1_7	Th17_16h_1_7	Th17_1h_1_7	Th17_1h_2_7	Th17_20h_1_7	Th17_20h_2_7	Th17_24h_1_7	Th17_2h_1_7	Th17_30h_1_7	Th17_30h_2_7	Th17_42h_1_7	Th17_42h_2_7	Th17_48h_1_7	Th17_4h_1_7	Th17_4h_2_7	Th17_50h_1_7	Th17_52h_1_7	Th17_52h_2_7	Th17_60h_1_7	Th17_60h_2_7	Th17_6h_1_7	Th17_72h_1_7	Th17_8h_1_7
0610007p14rik	2.2597	2.9245	2.8698	 2.969	2.9501	2.1494	2.9946	2.9161	2.9992	2.1254	1.9444	2.9374	2.9055	 2.923	3.1207	3.2739	3.2504	2.4079	3.1629	3.2489	3.0773	2.9617	3.1216	2.7644	2.6801	2.3539	 2.849	2.9538	2.9396	3.0079	3.0011	2.2387	3.0516	2.9954	3.0331	2.0556	1.8705	2.9656	2.9902	3.0731	3.1209	3.3322	3.0347	2.4904	2.9929	3.1997	3.0413	2.8454	2.9066	2.8082	2.7471	2.4699	2.8114	2.8102	2.8813	2.9866	2.3131	2.3102	3.0032	2.9899	3.0258	2.1883	2.9413	2.8863	2.9717	2.9132	 2.987	2.5525	 2.502	3.0429	3.0075	2.9619	2.9896	2.9786	2.7042	2.9446	2.7912	2.4738	2.8435	2.8487	3.0071	3.1475	2.2521	2.3246	3.1546	 3.177	3.2261	 2.201	 3.112	3.0606	3.0656	3.0171	3.1302	2.5432	2.4981	3.1214	3.1155	3.0517	  2.99	3.0188	2.7998	3.1154	2.8993
0610012g03rik	2.8009	 2.868	2.9115	2.9299	2.9261	2.8165	2.8506	2.9007	2.8138	2.7466	2.6855	2.8117	2.7079	2.7988	  2.77	2.7649	2.8003	2.6156	2.8659	2.8773	 2.909	2.9094	2.8818	 2.901	2.9431	2.7988	2.9281	2.8949	2.9303	2.9475	2.9043	2.8025	2.8779	2.8819	2.9046	2.6916	2.6633	2.8432	2.8041	2.8284	 2.798	 2.818	2.8142	 2.722	2.8789	2.9154	3.0259	3.0172	3.0476	2.8397	2.8564	2.7909	2.8814	2.9391	2.8998	2.9328	2.6611	2.7134	2.8908	2.9036	2.8974	2.7109	2.8424	2.8001	2.7927	2.7697	2.8176	2.6247	2.7445	2.7799	2.8012	2.8405	2.7757	2.8392	2.8251	 2.805	2.8794	2.7359	2.8889	2.9018	2.9346	2.9462	2.6354	2.6865	 2.993	2.9668	3.0377	2.6679	2.9103	2.9702	2.9387	2.9335	2.9682	2.7069	2.7028	 2.974	2.9629	3.0136	3.0925	3.0283	2.7989	3.0563	2.9192
1190002n15rik	2.1374	1.9329	2.0402	1.9482	1.9089	2.1644	 2.101	1.9119	 2.036	1.9787	1.9438	1.9071	2.0827	2.1768	2.1637	2.1779	2.5003	1.7966	2.0306	2.1066	2.1565	2.1431	1.9781	 1.947	1.6607	2.0767	1.8626	2.0024	1.9965	2.0519	2.0057	2.2053	2.1238	2.0055	2.1339	  1.92	1.6609	2.0727	2.1224	2.2764	2.3056	2.1709	2.3537	1.9484	2.3093	2.2734	2.3442	2.4693	2.2349	2.0601	1.9244	2.0561	1.8785	2.0381	1.8534	1.7412	2.2239	 2.267	 2.021	2.1115	2.0727	1.9906	2.0125	2.0997	2.0091	 2.147	1.9883	2.0174	1.9522	2.0767	2.0592	2.1027	2.0543	2.1153	1.9115	 1.958	1.9512	2.1072	2.0231	2.0221	2.0146	2.0872	2.0975	2.2181	2.2795	 2.222	2.2894	1.9494	2.3194	2.2968	2.3821	 2.325	2.4705	2.1126	2.0597	2.4014	2.4351	2.4373	2.3648	 2.454	2.0648	2.5197	2.0572
1500010j02rik	1.7977	 2.059	 1.979	1.9845	2.0097	1.8359	2.0592	2.2099	2.1918	 1.749	1.6652	2.2181	2.1837	2.2202	2.3146	2.2841	2.4727	1.7359	2.4173	2.4893	2.4135	2.4444	2.3774	 1.844	1.6115	  1.84	1.9112	1.9636	1.8787	1.9024	1.8887	1.8397	1.9491	1.9554	2.0777	1.5967	1.7064	2.2491	2.2263	2.2363	2.2554	2.2959	2.2776	1.6644	2.3194	2.3702	2.3368	2.2513	2.2415	1.8338	1.8113	1.7652	2.1263	2.1056	1.9122	 2.069	1.8259	1.7718	2.1891	2.1768	2.2731	1.8742	 2.328	2.3515	2.2438	2.2514	2.2969	1.8247	 1.808	2.2306	2.3197	2.3656	2.3356	2.3239	1.8084	2.3389	1.8395	1.8463	2.2164	2.0776	1.9662	1.9439	1.9036	1.8303	2.0597	2.0521	2.2155	1.8303	2.3011	2.4029	2.0977	2.1284	 2.136	1.8122	1.8293	2.1405	2.1266	2.1264	2.2412	2.1992	1.8236	2.2151	1.9458
1700081l11rik	2.0922	 1.526	1.5125	1.5671	1.6353	2.0875	  1.47	1.5742	 1.454	 2.101	 2.086	1.5362	 1.529	1.4903	1.4613	1.4686	1.4966	1.8805	1.4965	1.4787	1.3718	1.5326	1.4417	1.6879	1.9187	 2.082	1.7402	1.5993	1.5006	1.5102	1.4997	2.0154	1.4767	1.5579	1.4186	2.1053	1.8007	1.5607	1.4895	1.5228	1.5713	1.4593	1.4483	1.6615	1.3986	1.4761	1.5258	1.4316	1.4831	1.6899	1.6353	1.8867	 1.768	1.6965	1.6594	1.6052	1.8168	1.8804	1.5354	1.6049	1.5907	1.6794	1.5977	1.5117	1.5995	1.5012	1.6327	1.4019	1.6376	1.5683	1.5023	1.5505	1.6188	1.5613	1.7359	1.6133	1.6607	1.6569	1.6813	1.5991	1.7262	1.5635	1.5143	1.7869	1.5578	1.5427	1.5088	1.6696	1.5733	 1.587	1.5124	  1.46	1.5542	1.5071	1.6081	1.5449	1.5541	1.5337	 1.516	1.4812	1.7482	1.4792	1.6002
2010002n04rik	1.3476	 2.005	1.3254	1.4965	1.9058	1.6549	1.5058	 1.598	1.3629	1.8184	1.9523	1.6093	1.4556	1.3663	1.5133	1.6268	2.2915	2.1443	1.6897	1.8088	1.6002	1.6418	1.8143	2.0544	2.1099	1.3847	1.9166	2.1984	1.6351	1.7931	2.3006	1.4161	1.5796	2.0382	1.6354	1.7934	2.0146	1.5132	 1.611	1.7037	1.8652	2.0469	2.0058	2.4645	 1.955	2.2648	1.9066	1.7688	1.9794	2.2025	2.3014	1.1803	2.2684	2.1384	 1.902	 1.713	1.2988	1.3971	1.3278	1.3991	1.5365	2.1093	1.2887	  1.52	1.5919	1.6037	1.4931	2.4059	2.3598	1.6245	1.6062	1.6679	 1.764	1.7036	2.2103	 1.622	2.0625	1.2004	3.0331	3.0017	2.8209	2.8791	 1.385	 1.599	2.8286	2.8362	3.0573	2.5602	3.0442	2.9501	2.9751	2.9471	2.6839	3.1544	3.0965	2.8258	2.6425	 2.843	2.9672	2.8265	3.0941	2.7478	2.9859
2010109k11rik	2.1008	2.0354	2.0505	2.0582	1.9949	 2.087	2.1014	2.0079	2.0673	2.1536	1.9703	2.0499	2.1111	2.0394	2.0649	2.1395	1.8641	2.0514	2.0464	2.0949	2.0328	1.7625	2.1381	1.9521	1.9771	2.1073	 2.042	 2.075	2.1215	2.0768	2.0073	2.0671	2.1412	2.0691	2.1656	2.2069	1.8687	2.0937	2.1199	2.1803	2.0971	 2.228	2.1281	2.0506	2.0961	2.1742	1.9436	2.0172	1.8536	2.0884	2.0566	2.0694	1.9989	2.0757	1.9668	1.9203	2.1282	2.0899	1.9858	2.0831	2.0906	2.0862	2.0558	2.0657	2.1007	2.1238	2.0315	1.9427	1.9404	 2.067	 2.068	2.1221	2.0762	2.1038	1.9381	1.9907	2.0165	2.0944	2.0632	2.0953	2.0837	2.0231	2.0727	2.1412	2.0096	 2.107	 2.096	2.0446	2.0527	2.0825	2.2118	2.0889	2.2415	2.0338	2.0368	2.2054	2.2533	2.2088	2.1615	2.1775	2.1209	2.4057	2.0913
2310004i24rik	2.3606	2.5635	2.5144	2.5774	2.5832	 2.436	2.4733	2.5241	2.4351	2.5061	2.4745	2.4474	2.4231	2.4852	2.5837	2.6023	2.6275	2.2905	2.6981	2.7182	2.7744	2.7874	2.7569	2.5251	2.4307	 2.393	2.5834	2.5993	2.5526	 2.593	2.6156	2.4672	2.5477	2.6277	2.5405	2.5379	2.4983	2.6371	2.5948	2.8364	2.9606	2.9628	2.9867	2.3849	3.0085	3.0514	3.0134	2.8599	3.0076	2.5231	2.4747	2.5722	 2.574	2.5729	2.5763	2.4943	2.5247	2.4933	2.4668	 2.554	2.4614	 2.613	2.5241	2.4781	2.5118	2.4659	2.5572	2.4978	2.5083	2.5893	2.5949	2.5634	2.5396	2.5886	2.4479	2.5938	2.5283	2.5786	2.6386	2.5937	2.6398	2.6151	2.4997	2.4833	2.6312	2.6229	2.6074	2.6151	2.6562	 2.641	2.7005	2.6335	 2.797	2.5852	2.5562	2.8137	2.8649	2.7859	2.8071	2.7728	2.5384	2.9448	2.5687
2310008h04rik	1.8065	1.8376	1.8789	1.9511	1.7942	1.7107	1.9391	1.7759	2.0222	1.6281	1.3275	 1.888	 1.942	1.8653	1.9737	2.0156	2.3829	1.6988	1.9759	1.9944	2.0016	2.1317	1.9534	  1.76	1.8097	1.8193	1.7219	1.8501	1.9244	1.8677	1.7718	1.7832	1.9655	1.6989	1.9898	1.6277	1.3145	1.8865	1.8637	1.8675	1.9748	2.0819	2.0336	1.5887	2.1462	2.2101	2.1497	2.2262	2.2166	 1.806	  1.68	1.7396	1.8322	 1.726	1.8773	1.8792	1.7674	1.7135	2.0002	1.9988	2.0484	1.5705	1.9957	2.0317	1.9331	1.9087	1.9749	1.7501	1.7069	1.9284	1.8841	1.9012	1.9714	1.8763	1.6267	1.8688	1.7292	1.8345	1.8429	1.7603	1.8481	1.8953	1.8604	1.8229	1.9294	1.9479	2.0731	1.5501	2.0823	2.0406	1.9175	1.8767	1.9908	1.6888	1.5474	1.9071	1.9229	1.8831	1.9956	1.9592	1.6621	2.1642	1.8163
2310033p09rik	2.1545	2.3083	2.3475	2.2614	2.3123	2.2686	2.4069	2.3173	2.3396	2.2276	2.3325	 2.299	2.2919	2.2716	2.2288	2.1626	  2.16	2.2879	2.0907	2.0436	2.0788	 1.922	2.0081	2.3321	2.2308	2.1535	2.1886	2.2126	2.2013	2.2661	2.2073	2.2391	2.2268	2.2539	2.2477	2.2553	 2.199	2.2418	2.2395	2.1976	2.0941	2.0371	2.1054	2.2885	2.0632	1.9547	2.0255	2.0372	 1.802	2.2443	2.1478	2.1614	2.1196	2.1924	2.2224	2.2137	2.2816	2.1904	2.2789	2.3005	2.2675	2.3293	2.2693	2.2538	 2.224	2.1677	 2.202	2.3946	2.3775	2.1718	2.1425	2.1857	2.1522	2.1485	2.2743	2.1552	2.2297	2.1489	2.0881	2.0636	2.1318	2.0902	2.1978	2.1351	 2.201	 2.155	2.1681	2.2344	2.1505	2.1477	2.0826	2.0176	2.0397	2.3054	2.2752	2.0909	2.0556	2.1045	2.0139	2.0446	2.2545	1.9137	2.1407
2610019f03rik	3.0296	1.8499	1.9234	1.8315	1.8916	3.3095	1.8056	1.9821	 1.778	3.4004	3.0499	1.7549	1.8184	1.8664	  1.86	1.9239	1.8648	2.5643	1.8594	1.9593	1.9109	2.1396	1.9742	2.0456	2.6337	 2.983	1.6863	1.6414	1.7704	1.7099	1.6987	3.1076	 1.656	1.7777	1.6899	3.1539	2.9121	1.6623	1.6841	1.6612	  1.65	1.8177	1.5926	2.5053	1.6508	1.7812	1.7576	1.7951	2.1295	1.9154	2.5532	3.0834	1.9224	1.9217	1.9588	1.9156	3.2973	3.2425	1.9838	 1.921	1.8964	3.3182	2.0311	1.9686	1.9629	1.9226	1.8886	2.3994	2.4803	1.9176	1.7973	1.8548	1.8658	1.7871	2.0184	1.8124	1.9049	 3.106	1.7462	1.8482	1.8012	 1.731	3.0001	3.0279	1.8039	1.8421	1.7867	 2.954	1.7661	1.7428	 1.784	 1.738	1.6303	2.1909	2.3398	1.6844	1.6616	1.5569	1.4108	1.4904	1.8225	1.4318	1.6849
2810021b07rik	1.9472	2.2394	2.2638	2.2895	2.2663	1.8439	2.2146	2.0545	2.1151	2.0486	2.0005	2.1845	2.1813	2.1685	2.1704	2.1667	2.1199	1.8005	 2.145	2.2804	2.2275	2.2912	2.2961	2.2957	2.1728	1.9672	2.2598	2.2682	2.2746	2.3069	2.2471	1.9827	2.2824	2.1737	2.2665	1.9136	1.9236	2.1922	2.1713	2.2052	2.2092	2.1892	  2.17	 1.959	2.1895	2.2946	2.2802	2.2861	2.2937	2.2551	2.1383	2.1299	2.3714	2.3607	2.3906	2.2431	2.0652	2.0146	2.1742	2.2445	2.1937	2.1546	2.1601	  2.17	2.1757	2.1382	2.1524	2.0727	2.1986	2.0556	2.0429	2.1034	2.0539	2.1126	 2.265	2.0277	2.3383	2.0851	2.3838	2.3194	2.3819	2.2028	2.0532	2.0464	2.1753	2.1012	2.1248	2.1993	2.0936	2.1101	2.0955	2.0579	2.1138	2.2054	2.1823	2.1212	2.0879	2.0813	2.0759	2.0443	2.3132	2.1104	2.3164
3110003a17rik	3.3631	3.1982	3.2509	3.2126	3.1541	3.2975	3.2452	3.2043	3.2851	3.3247	3.3419	3.2756	3.2917	3.2798	3.2291	3.1893	3.1473	3.3225	3.1641	3.1794	 3.189	3.1346	3.2165	   3.3	3.1343	3.3432	3.2163	3.1338	3.1861	3.1286	3.1281	3.3388	3.1541	3.1511	3.2063	3.2896	3.3625	3.2253	3.2263	3.2377	3.1674	3.0504	3.1897	3.3891	3.1734	3.1601	3.1527	3.2503	3.1823	3.2769	3.2988	 3.315	3.2674	3.3096	3.1637	3.2135	3.2916	3.3263	3.2379	3.2492	3.2358	3.3126	3.2617	3.3007	3.2376	3.2707	 3.188	 3.395	3.3718	3.1873	3.2285	3.1936	3.1406	3.1951	3.3337	3.2036	3.3187	 3.289	 3.277	3.2627	3.1904	3.1404	3.2292	3.3002	3.1235	3.0861	3.1104	 3.268	3.1173	3.1366	3.1104	3.1252	3.1335	3.3564	 3.364	3.0681	3.1165	3.1378	3.0684	3.0949	3.2891	3.0659	3.2433
3110057o12rik	1.3395	1.1537	1.1724	1.2167	1.2712	1.1312	1.2208	1.1418	1.2404	1.2531	1.1856	1.2664	1.2455	1.5442	1.5627	1.5312	2.0674	1.1828	1.4033	1.5481	1.8462	 1.774	1.4366	1.1097	1.1125	1.4412	 1.108	1.1597	1.2169	1.1565	1.1525	1.2802	1.2066	1.1074	1.2251	1.2825	1.1327	 1.251	1.2147	1.5873	1.5921	1.5073	1.7571	1.2008	 1.783	1.8694	2.0683	1.9483	 1.917	1.1715	1.1533	1.6274	 1.006	1.0318	1.0407	 1.249	1.4173	1.3951	1.2771	1.2723	1.3259	1.3909	1.2937	1.2435	1.2734	1.3038	1.3949	1.1123	1.2733	1.3598	 1.493	1.4148	1.3301	1.4183	1.0096	 1.412	 1.175	1.6472	 1.234	1.2335	 1.193	1.2249	1.5008	1.4559	1.2112	1.2078	1.2338	 1.418	1.1704	1.2911	 1.315	1.2644	 1.686	1.1993	1.2034	1.4289	1.5871	1.3922	1.3396	1.4165	1.1159	1.9452	1.0936
4632428n05rik	3.2535	3.1381	 3.038	2.9788	3.0398	 3.296	2.7452	2.9542	2.4288	3.4777	3.6759	2.4111	2.4383	2.3979	2.4531	2.5139	2.6381	3.6292	2.3571	2.4152	2.4841	 2.662	2.4909	3.3638	3.3132	3.2128	 3.085	2.9746	2.8489	 2.721	2.7756	3.2722	2.5245	2.6243	2.1956	3.4171	3.5659	2.2677	2.3164	2.4134	2.5456	2.5272	2.6487	3.5705	2.8362	2.8763	3.1104	3.2203	3.1247	3.2918	3.3419	3.2092	3.3952	3.4238	3.1653	3.0978	3.2525	3.2017	2.7846	2.8025	2.6719	3.6376	2.6388	2.6664	2.4634	 2.548	2.4107	3.6941	3.6724	2.4733	2.3295	2.4354	2.5478	2.4329	3.5178	2.3415	 3.419	3.1937	3.4062	3.3527	3.1138	3.0062	3.1254	3.1478	2.6891	2.6265	 2.451	3.4658	2.1185	2.2369	2.2698	2.3344	2.3142	3.6522	3.6974	2.3337	2.2761	 2.288	2.4644	2.4361	3.4904	 2.404	3.3687
4930420k17rik	2.8388	2.6753	2.7565	2.8118	2.7554	2.9612	2.8235	2.7962	2.8908	2.9743	2.8768	 2.868	2.8622	2.8307	2.9218	3.0449	2.8832	2.6313	2.9323	3.0286	2.8537	2.7927	 2.894	2.6463	2.6089	2.8512	2.6241	2.5727	2.6171	 2.615	2.5832	2.9211	2.5949	2.5715	 2.646	2.8785	2.8415	2.6234	 2.651	2.6913	2.7059	2.8064	2.6885	2.6906	2.6635	2.7298	2.6117	2.5896	2.6281	2.4635	 2.654	2.9436	2.5027	2.6234	2.6238	2.7201	 3.034	2.9849	2.7762	2.9168	2.9013	 3.032	2.9172	2.9044	2.8425	 2.832	 2.867	2.8085	2.7906	2.9067	2.8983	2.9341	2.8284	2.8639	2.7188	2.8312	2.6941	2.9377	2.4613	2.4326	2.5434	 2.532	2.9136	2.9872	2.5203	2.5577	2.5292	2.8738	2.5579	2.5842	2.4483	2.4083	2.5841	2.5997	2.6452	2.5204	2.6209	2.5023	2.3541	2.3934	2.4814	2.4463	2.4543
4930583h14rik	1.1339	1.1953	1.0964	1.1475	1.0957	1.2403	1.1995	1.1671	1.1684	 1.063	1.1643	1.1534	1.2006	1.3852	1.5959	1.6434	2.7187	1.1214	1.8405	1.8579	2.0392	2.1151	1.9098	1.1338	1.2013	1.1104	1.0553	1.1137	 1.169	1.0715	1.1363	1.2614	1.0926	1.1982	1.1671	1.2524	 1.304	1.1907	1.1706	1.5194	2.0116	1.6379	2.1598	1.0951	2.3371	2.1808	2.3468	 2.616	2.5995	1.0108	1.2157	1.2623	1.1856	 1.191	1.1613	1.1516	1.1581	1.2361	 1.246	1.2677	1.3049	1.0931	 1.151	1.2948	1.4928	 1.336	1.7458	1.2534	1.2111	1.6347	1.6572	 1.574	1.2929	1.5504	1.3007	1.4574	1.1848	1.3447	1.2458	1.2031	 1.254	1.2336	1.3466	1.3444	1.1801	1.2689	1.3013	1.3234	1.3914	1.3449	1.3315	1.3237	2.2008	1.2858	1.1691	1.8403	2.1511	1.6256	1.3427	1.4169	1.2248	2.6906	1.1955
4933426m11rik	2.8439	2.4993	2.4453	2.4405	2.4305	2.9781	2.2962	2.4306	2.2038	2.9135	2.8557	2.1666	2.1319	2.1578	2.1916	2.2152	2.2402	 2.642	2.1829	2.3133	2.2053	2.3122	2.2993	2.5705	2.5105	2.8299	2.4891	2.3707	2.3789	2.3282	2.1689	2.9713	2.1926	2.2053	2.1631	2.9235	2.8583	2.0784	2.0838	2.0995	2.1441	2.1569	2.0404	2.6491	2.0826	2.2368	2.0906	 2.093	2.2357	2.4904	2.5497	2.7434	2.6128	2.5965	2.5065	2.4449	2.8973	2.8987	2.2415	2.3283	2.2888	2.8527	2.2815	2.3151	2.2625	2.2557	2.2731	2.6056	2.7189	2.2364	2.2053	2.2594	2.3086	2.2203	2.5267	2.2771	2.5655	2.7565	2.6649	2.6568	2.5646	2.4127	2.9069	2.9538	2.2387	2.2553	2.2309	2.8584	2.2893	2.2992	2.2194	2.2178	2.1585	2.6507	2.6594	2.1791	2.1131	2.2079	2.1813	2.2234	2.5546	2.1246	2.5997
9030617o03rik	 1.747	2.1613	1.8631	1.8423	1.9762	1.8317	1.5681	1.9671	1.5092	1.4409	1.5317	1.6913	1.7045	1.7483	1.7864	1.6369	2.1374	1.5206	2.0708	2.2466	2.1056	2.0547	 2.368	1.9377	1.6917	1.8299	1.9291	2.1588	1.7484	1.7683	2.0476	1.6977	1.4778	1.8703	1.6094	1.4773	1.3212	1.6925	1.7003	 1.728	1.7913	1.7282	1.7459	1.4043	1.8331	2.0467	1.9351	1.7914	2.1061	1.9322	1.7594	1.7099	2.3238	2.1785	 2.075	1.8322	1.5845	1.4127	1.6843	1.5911	   1.8	1.2153	2.0127	 2.052	2.0074	1.9313	2.0129	1.3931	1.2925	1.8635	1.9887	  2.07	2.1873	2.1166	1.5137	2.2187	1.8907	1.7255	2.4182	2.3004	2.0754	1.7669	1.6204	1.5953	1.6196	1.5421	1.7303	1.3965	 1.993	1.9616	 1.667	1.7752	1.2466	1.2588	1.1833	1.4581	 1.317	1.4821	1.9171	1.7948	1.6325	1.7555	1.9813
A2ld1	2.1375	2.0863	2.0979	2.0846	2.1333	2.0267	2.0833	1.8506	2.1878	1.5332	1.3774	2.1315	 2.167	2.1211	2.0738	2.0653	1.9536	1.7984	2.0258	1.9641	2.1935	2.2895	1.9276	2.0815	2.0812	2.1828	2.0131	2.0942	2.1302	2.1398	 2.189	2.0445	2.1385	2.2033	2.1895	1.5687	1.4209	2.1282	2.1443	 2.204	2.1278	2.0534	2.1607	 1.751	2.1339	2.1062	 2.247	2.1974	2.0359	2.0529	1.9645	2.1973	2.1026	2.0728	2.1764	2.0951	1.9889	2.0379	2.1258	1.9933	2.0835	1.7861	2.1856	  2.18	2.0346	 2.012	1.9793	1.7802	1.9407	2.0158	2.0788	2.0637	1.9535	2.0002	2.0376	2.0223	2.1035	2.0689	2.1618	2.0919	2.1948	2.0881	1.9214	2.0761	2.1945	 2.172	 2.164	1.5406	2.1924	2.2515	2.1382	2.0948	2.1697	1.6973	 1.909	 2.139	 2.168	2.1996	2.1177	  2.08	2.1036	2.1637	2.1056
A430005l14rik	2.1763	 2.753	2.7656	2.7326	2.7159	2.1431	2.6725	  2.61	2.6585	2.1713	2.1916	2.6357	2.6088	 2.584	2.6394	2.5921	2.4135	2.4533	2.5814	2.5339	2.4482	 2.321	2.4937	2.7338	2.6615	2.2428	2.7203	2.7172	2.7285	2.7152	2.6616	2.0383	2.6434	2.5525	2.5917	2.0852	2.1914	 2.584	 2.577	2.5324	2.5528	2.4936	2.4329	2.5553	2.4826	2.4241	2.3627	2.4014	2.2594	2.7162	2.7131	2.3017	2.6978	2.6856	2.7278	2.6654	2.1722	2.1154	2.5976	2.6435	2.6275	2.3073	2.6183	 2.576	2.5425	2.5136	2.5734	 2.634	2.6336	2.5522	2.4846	2.5322	2.4944	2.5578	2.6449	2.4359	2.6692	2.2785	 2.672	2.6704	2.6629	 2.498	2.1155	2.1258	2.4432	2.4589	2.4154	2.2965	2.4403	2.3884	2.3463	 2.322	  2.39	2.6155	2.5559	2.4048	2.3873	2.3683	2.4243	2.3901	2.6309	2.2001	2.6723
Abcb1a	 1.2069	 1.0316	 1.0477	 1.0498	0.98031	 1.1617	 1.0827	 1.0069	 1.1229	 1.4494	 1.2629	  1.077	 1.1899	 1.3756	 1.6211	 1.8953	 1.5914	 1.2407	 1.7058	 2.0984	 1.4265	 1.1945	 1.6784	 1.0255	 1.0539	 1.2527	0.97311	  1.013	   1.02	 0.9953	0.97409	 1.2879	 1.0364	0.97623	0.99075	 1.2319	 1.0421	0.99592	0.98807	 1.0364	 0.9816	 1.0472	  1.045	 1.1249	 1.0171	 1.1668	 1.0154	 1.0131	 1.0488	 1.0384	 1.0065	  1.216	 1.0041	0.98313	 1.0156	  1.049	 1.6539	 1.4524	 0.9614	0.99806	 1.0452	 1.6257	 1.1715	 1.0781	 1.0766	 1.1245	 1.3455	 1.2638	  1.177	 1.6402	 1.5699	 1.3886	 1.2286	 1.3456	 1.0468	 1.2382	0.98951	 1.2773	0.99463	0.93609	 1.0078	 0.9927	  1.305	 1.4674	0.97425	 1.0704	0.96409	 1.2126	0.96277	0.98163	0.94585	0.97569	  1.055	 1.1682	 1.0527	0.97613	0.96078	 1.0164	 1.0143	 1.0307	  1.047	 1.0621	 1.0096
Abcb1b	1.7339	2.3817	2.3626	2.3822	 2.378	1.7019	2.4145	2.3519	2.4073	1.6021	1.5613	2.3145	2.5072	2.3438	2.4608	2.5026	2.1883	1.7951	2.3214	2.4422	2.2459	2.0372	2.3078	2.1866	1.8208	1.6832	2.2972	2.3933	2.4124	2.4155	2.3357	1.6508	2.4239	2.3713	2.3904	1.7897	1.6851	2.3445	2.3046	2.3819	2.2777	2.3907	2.1064	1.8889	1.9814	2.2493	1.9645	1.5484	1.8228	 2.156	2.0325	1.5385	2.1647	2.1827	2.1341	2.1257	1.7728	1.6096	 2.191	2.3414	2.2644	1.6585	2.3718	2.4311	2.3195	2.4634	2.3819	1.8533	1.7361	2.4281	2.5305	2.4953	2.5006	2.5062	1.8494	2.4262	2.0511	1.6391	2.0487	1.9976	2.0103	2.0724	1.6872	1.6611	2.0723	2.1112	2.1451	1.7252	2.2836	2.1893	2.2377	2.1758	2.1847	1.7885	1.7089	2.2117	2.1364	2.2463	2.1901	2.2199	1.7714	1.9096	1.8589
Abcb9	2.0059	1.1895	1.2802	1.2351	1.2363	2.0603	1.2591	1.1728	1.3982	1.7789	1.5924	1.4209	1.5315	1.6649	1.5808	1.5988	1.8061	1.2843	 1.788	1.6308	1.8634	1.8709	1.5517	1.2941	1.2479	1.9432	1.2711	1.2802	1.3569	1.3168	1.3776	1.9088	1.4432	1.3289	 1.485	 1.617	1.4537	1.6357	1.5662	1.6676	1.9636	1.7908	2.1479	1.2931	2.2147	2.0344	2.1545	2.2341	 2.089	1.2794	1.3339	2.1563	1.4532	1.3107	1.4513	1.4758	2.4901	2.4018	 1.407	1.5143	1.5403	 1.666	 1.621	1.3573	1.4551	 1.357	1.5782	1.3565	1.3457	1.5295	 1.492	1.5025	1.4717	1.4225	1.5154	1.4775	1.2756	1.8709	1.4108	1.2997	1.4121	1.3907	1.7473	2.1087	 1.433	1.4557	1.4709	1.5938	 1.577	1.4511	1.4881	1.4824	1.5916	1.2791	1.4279	1.4579	1.5967	1.4407	 1.489	 1.384	1.4683	1.6672	1.2076
