	Th0_0.5h_1_1	Th0_14h_4_1	Th0_16h_1_1	Th0_16h_7_1	Th0_18h_5_1	Th0_1h_1_1	Th0_20h_5_1	Th0_20h_6_1	Th0_25h_6_1	Th0_2h_2_1	Th0_2h_7_1	Th0_30h_6_1	Th0_30h_9_1	Th0_36h_6_1	Th0_42h_6_1	Th0_42h_7_1	Th0_48h_6_1	Th0_4h_3_1	Th0_54h_6_1	Th0_54h_7_1	Th0_60h_6_1	Th0_72h_6_1	Th0_72h_7_1	Th0_8h_3_1	Th0_8h_8_1	Tr1_0.5h_1_1	Tr1_12h_4_1	Tr1_14h_4_1	Tr1_16h_1_1	Tr1_16h_7_1	Tr1_18h_5_1	Tr1_1h_1_1	Tr1_20h_5_1	Tr1_20h_6_1	Tr1_25h_6_1	Tr1_2h_2_1	Tr1_2h_7_1	Tr1_30h_6_1	Tr1_30h_9_1	Tr1_36h_6_1	Tr1_42h_6_1	Tr1_42h_7_1	Tr1_48h_6_1	Tr1_4h_3_1	Tr1_54h_6_1	Tr1_54h_7_1	Tr1_60h_6_1	Tr1_72h_6_1	Tr1_72h_7_1	Tr1_8h_3_1	Tr1_8h_8_1	Th0_0.5h_1_7	Th0_10h_1_7	Th0_10h_2_7	Th0_12h_1_7	Th0_16h_1_7	Th0_1h_1_7	Th0_1h_2_7	Th0_20h_1_7	Th0_20h_2_7	Th0_24h_1_7	Th0_2h_1_7	Th0_30h_1_7	Th0_30h_2_7	Th0_42h_1_7	Th0_42h_2_7	Th0_48h_1_7	Th0_4h_1_7	Th0_4h_2_7	Th0_50h_1_7	Th0_52h_1_7	Th0_52h_2_7	Th0_60h_1_7	Th0_60h_2_7	Th0_6h_1_7	Th0_72h_1_7	Th0_8h_1_7	Th17_0.5h_1_7	Th17_10h_1_7	Th17_10h_2_7	Th17_12h_1_7	Th17_16h_1_7	Th17_1h_1_7	Th17_1h_2_7	Th17_20h_1_7	Th17_20h_2_7	Th17_24h_1_7	Th17_2h_1_7	Th17_30h_1_7	Th17_30h_2_7	Th17_42h_1_7	Th17_42h_2_7	Th17_48h_1_7	Th17_4h_1_7	Th17_4h_2_7	Th17_50h_1_7	Th17_52h_1_7	Th17_52h_2_7	Th17_60h_1_7	Th17_60h_2_7	Th17_6h_1_7	Th17_72h_1_7	Th17_8h_1_7
Vav1	2.4359	2.1567	2.2049	2.1865	2.0987	2.2598	2.1401	2.2477	2.1359	2.2417	2.4598	 2.131	2.1394	2.2216	2.1125	2.1701	2.0197	2.3854	2.0777	 2.108	2.0451	2.0321	2.0016	2.2363	1.9286	2.3901	2.3007	2.2238	2.2664	2.2557	2.2107	2.2406	2.2083	2.1954	2.1727	2.2757	2.3686	2.2108	2.1839	 2.262	2.2338	2.1261	2.2494	2.3706	 2.262	2.2116	2.2487	2.3694	2.1933	2.2319	2.3691	  2.42	2.1045	2.2012	2.0926	2.0994	2.2443	2.2527	2.1249	 2.241	 2.135	2.2414	2.1513	2.2185	2.1162	2.2387	2.1711	2.1334	2.3114	 2.109	2.1337	2.1809	2.1562	2.1689	2.1212	2.0476	2.0842	2.3792	2.4416	2.4199	2.4591	2.5106	2.1311	2.3031	2.4406	2.3103	 2.341	 2.248	 2.322	 2.296	2.2847	2.2667	2.2907	2.3859	2.5301	2.2656	2.2633	2.3117	2.3501	2.3861	2.3669	 2.278	2.2692
Vav3	1.9211	1.8533	1.9631	1.9174	1.9807	2.0533	2.1148	2.1092	2.1418	1.7858	 1.806	2.1017	2.1788	2.2192	2.2226	2.2944	2.1557	1.4982	2.2122	2.2013	2.2601	2.2835	2.2024	1.5606	1.5228	1.9644	 1.863	1.9607	2.1083	1.9659	2.0591	2.0254	2.0219	2.1147	1.9435	1.9165	2.0787	1.8692	1.8976	1.9313	2.0153	1.8174	1.9919	1.9349	2.0385	1.9848	2.1256	2.2002	2.0774	1.6957	1.6947	 1.987	1.6532	1.6944	1.8174	1.9035	1.9798	2.0098	2.0656	2.2077	 2.073	1.8906	2.0743	2.1085	2.2001	 2.217	2.2405	1.6389	1.5679	2.2717	2.2905	2.2846	2.2212	2.2765	1.5859	2.1933	1.6908	2.0696	1.4314	1.3937	1.4504	1.4601	2.0365	2.1072	1.5014	1.5409	1.4099	2.0734	1.2566	1.1177	1.2988	1.2067	1.4139	1.7916	1.6099	1.3807	1.4561	1.3584	1.4362	 1.419	1.6388	1.7164	1.5599
Vax2	  1.011	 1.0248	  1.034	 1.0618	 1.0203	 1.0567	 1.0191	 1.0588	 1.0966	 1.0946	0.99151	 1.0545	0.97849	 1.0044	0.98843	 1.0784	 1.1396	 1.0723	 1.0977	  1.005	 1.0649	 1.0504	 1.1633	 1.0334	 1.1852	 1.0018	0.98551	0.95189	 1.0255	 1.0116	 1.1282	 1.1077	0.95927	 1.0517	 1.0011	 1.0865	 1.0022	 1.0662	 1.0241	0.95593	 1.0982	 1.1664	  1.044	  1.065	 1.0598	 1.0157	   1.09	 1.0866	 1.1019	 1.0119	 1.0007	  1.086	 1.0672	 1.1248	 1.1483	 1.0089	 1.1093	0.99895	 1.0219	 1.0271	0.97825	 1.0988	0.94744	 1.0023	 1.0707	 1.0095	 1.0923	 1.1267	 1.0127	0.98392	 1.0421	0.96983	 1.0469	 1.0533	 1.0793	 1.2495	 1.1411	 1.0695	 1.0134	  1.051	 1.0758	0.98722	 1.0548	0.99898	0.99097	0.95517	 1.0192	   1.13	 1.0981	 1.0976	 1.1313	 1.1397	 1.3284	 1.0743	 1.0934	 1.2907	 1.3295	 1.2339	  1.259	 1.1801	 1.0096	 1.6742	 1.0882
Vdac1	2.1141	2.6511	2.6808	2.7397	2.7091	2.1021	2.7207	 2.736	2.7206	 2.064	1.9581	2.6417	2.7934	2.7937	2.7358	2.7924	2.8763	2.0476	2.7654	2.7844	2.7907	2.8178	2.7885	2.5706	2.3441	2.0915	2.7475	2.6019	2.7002	2.7492	2.6646	 2.136	2.7522	2.7538	2.7468	1.9933	1.7728	2.7134	2.7095	2.8533	2.7518	 2.723	2.7785	 2.155	2.7849	2.8602	2.8114	2.8074	2.7796	2.4592	2.4386	2.2302	2.4388	2.4886	2.5636	2.6772	2.1799	2.1099	2.7311	2.7434	2.7561	2.0631	2.7113	 2.683	2.7537	2.7336	 2.768	 2.273	2.1478	2.7539	2.7686	 2.728	2.7204	 2.725	2.3441	2.7166	2.4873	2.2825	2.4335	2.4466	2.5518	 2.643	 2.244	2.1307	 2.715	2.6805	2.7366	1.9855	2.7049	2.7316	2.7758	2.8903	2.7921	 2.236	2.1007	2.7918	2.7961	2.7923	2.7527	2.7655	  2.32	2.8879	2.4707
Vegfa	1.3537	1.1064	1.2015	 1.016	1.1745	1.3972	1.2185	 1.117	1.2865	1.2014	 1.162	1.3054	1.4507	 1.727	1.9326	2.0947	2.4263	1.2841	2.0021	1.9287	1.9094	2.1461	1.8972	 1.219	1.1369	1.3406	1.1706	 1.169	1.2153	1.1619	1.1626	1.3061	1.3412	1.2475	1.5231	1.2312	1.0462	1.5052	1.5842	1.9577	2.0428	2.1099	2.0989	1.3205	2.0533	2.1318	2.2209	2.2996	 2.198	1.2298	 1.181	1.4782	1.4128	1.3751	 1.298	1.3261	1.4843	1.4283	1.4108	1.4176	1.4757	 1.631	1.3873	1.3493	1.4686	1.5415	1.5989	1.4873	1.4347	2.1306	1.7445	1.5017	1.5536	1.5651	1.4224	1.4433	1.5141	1.5681	1.4478	1.4383	1.4228	1.3897	1.4863	1.4079	1.5278	1.5087	1.6352	1.3021	1.4624	1.4403	 1.533	1.6466	2.1784	1.4746	1.4261	1.8578	1.9905	1.6812	1.4501	1.5638	 1.602	2.1003	1.5407
Vegfb	1.6803	1.9222	1.9172	2.0274	1.9873	1.6244	2.0112	2.0323	2.0056	1.7747	1.8245	1.9992	1.9623	2.0134	 2.023	1.8955	 2.028	1.7566	2.0681	2.0753	2.1086	2.2039	2.1571	1.9232	1.8417	1.5949	1.9635	1.9322	1.9579	1.9549	1.9126	1.7941	2.0101	1.9794	1.9961	 1.593	1.7146	2.0562	2.0435	2.0307	 2.106	 2.027	2.0287	 1.645	2.0009	2.0632	2.0976	2.1322	2.1685	1.9671	1.9231	1.8631	1.9356	1.9921	2.0502	1.9739	1.7812	1.7744	2.1185	2.1083	2.1581	1.6052	2.0156	2.0512	1.9493	1.9187	 1.946	1.7855	  1.81	2.0128	1.9719	1.8812	1.9156	1.9591	1.8733	1.8897	1.9709	1.7592	1.9806	1.9368	2.1681	2.1563	1.6124	1.7308	2.3224	2.2745	2.2479	 1.757	2.1393	2.1756	2.1417	1.9368	2.1817	1.7709	1.7826	2.1721	2.2001	2.1406	2.1096	2.0912	2.0542	2.2147	2.0962
Vgll4	 2.769	2.2662	2.2118	2.2424	2.3153	3.1134	2.1018	2.1705	2.1239	3.0113	2.8248	2.2411	2.1641	2.1766	2.2804	2.3034	2.4225	2.4736	2.3358	2.3675	2.2753	2.3445	 2.322	2.1766	2.1979	2.6832	2.0321	2.1949	2.0953	2.0803	2.2378	2.8865	2.0349	2.1396	2.1166	2.8819	2.7966	2.2466	2.2434	2.1953	2.2244	 2.254	 2.329	2.3823	2.3129	2.2583	2.2605	 2.284	2.4318	2.1677	2.1398	 2.676	 2.506	2.4309	2.4623	2.3036	2.9891	2.9921	2.2813	2.2614	2.2793	2.8592	2.3045	2.2524	2.3003	2.2289	 2.318	2.3454	2.4692	2.3495	  2.24	2.2769	2.2993	 2.261	2.3954	2.2973	2.2768	2.6451	2.5021	2.4472	2.4439	2.2218	2.6918	2.8669	2.1861	  2.18	2.1269	2.5924	2.1686	2.1318	2.2427	2.0924	2.2551	2.3648	2.3497	2.1799	2.2305	2.1516	2.1322	2.1379	2.4121	2.3039	2.2876
Vim	 3.182	1.7698	1.8561	1.7385	1.9947	3.0939	2.3043	2.1607	2.5854	2.9279	2.8334	2.6643	2.8015	2.9769	2.9797	2.9005	3.3137	2.4866	3.1994	3.2656	3.3629	3.3882	3.3888	1.9461	2.0761	3.2602	1.7393	1.6917	1.8397	1.7123	1.8864	3.1853	2.0194	2.1201	 2.044	 3.014	2.8279	2.5244	2.4974	 2.784	2.9696	2.7792	3.2992	 2.591	3.4189	3.3964	3.5641	3.7205	3.6768	1.8704	 2.238	3.2486	1.4263	1.4307	1.4572	 1.576	3.1343	3.2632	2.6001	2.3573	2.6217	2.8707	2.7276	3.0331	2.8301	3.2539	2.9478	2.4655	2.3638	3.0355	3.2268	3.2214	3.2654	3.3634	1.8034	3.5452	 1.568	3.3168	1.8926	2.0378	2.1747	2.6215	3.1535	3.2279	3.0724	2.9559	 3.214	 2.752	3.6095	3.6084	3.7038	  3.88	3.7666	2.4075	2.4536	 3.702	3.8279	3.8657	3.7896	3.9324	1.9641	3.9218	 1.868
Vldlr	 1.0279	 0.9756	 1.0255	 1.0141	 0.9773	 1.0247	0.97897	0.99091	0.99272	0.98689	 1.1123	0.98733	0.98533	 1.0553	 1.2765	 1.4655	  2.107	 1.0179	 1.3046	  1.693	 1.4352	 1.6099	 1.5177	 1.0471	 1.0873	 1.0003	 1.0384	0.99865	0.98514	 1.0013	0.96795	 1.0741	0.99315	 1.0203	0.96671	 1.0014	 1.1221	0.98463	 1.0167	 1.1817	 1.3516	 1.6168	 1.6779	0.99809	 1.8862	 1.9321	 1.9331	 1.9185	 2.0898	 0.9867	0.97744	 1.0333	 1.0632	  1.025	 1.1152	 1.0747	 1.0625	0.98422	0.97572	 1.0425	 1.0658	0.98714	 1.0737	0.98187	 1.0625	0.96805	 1.1083	 1.0344	 1.0607	  1.118	 1.2047	 1.0292	 1.1465	 1.0354	 1.0839	 1.2501	 1.0729	0.97384	0.98931	0.97406	   1.03	0.95385	 1.0642	 1.0408	0.99465	 1.0453	0.99526	 1.0458	0.96172	 1.0073	 1.0657	 1.0119	 1.2554	 1.0093	 1.0289	 1.0716	 1.2742	 1.0529	 1.1002	 1.0174	 1.0519	 1.8657	 1.0204
Vps37b	3.5318	  1.81	1.8568	1.6766	1.8098	3.7282	 1.834	1.9569	1.7065	3.3925	3.1709	1.5983	1.6912	1.7584	1.8363	1.7774	2.2018	2.6217	2.0626	 1.986	2.1756	2.1779	2.0693	 2.107	2.3273	3.4915	 1.953	1.7948	1.8028	1.6178	1.6752	3.7022	1.6705	1.7848	1.6466	3.2347	3.0798	1.7249	 1.699	1.9034	2.1398	1.9037	2.2868	2.4714	2.3497	2.2108	2.2651	2.3105	2.2952	1.9864	2.3831	3.5042	2.0213	 2.075	2.0357	2.0291	3.7689	 3.719	1.8701	1.9779	1.9244	 3.299	1.9707	1.8685	1.8503	1.8136	1.9407	2.5163	2.6629	1.9071	1.9315	1.8092	1.8378	1.8793	 2.273	1.9807	2.1534	3.3328	1.9147	1.9395	1.9126	 1.844	3.5005	3.6803	 1.681	1.8374	1.7452	3.2606	1.7305	1.7528	1.6979	1.7629	1.8064	2.5584	 2.632	1.7809	1.8998	1.6967	1.7496	1.7134	2.2523	2.0128	2.0651
