regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	var.exp.ranksum	prior
Exo1	Ppil5	50	50	0.955222567812806	62	0
Nfyb	Znrf1	-50	50	0.931630791091037	196	0
H1f0	Fads2	50	50	0.900272790746536	670	0
Exo1	Rfwd3	50	50	0.898941291392887	750	0
Stat3	Serpinf1	50	50	0.86132111589503	1680	0
Inhba	Itga3	50	50	0.849013930658841	2675	0
Klf4	Plekha2	50	50	0.868785455930375	3763	1
Pou2f2	Tnrc6a	50	50	0.881168951950414	4180	1
Exo1	Rpa2	50	50	0.829551811581917	5005	0
Rpa2	Exo1	50	50	0.821567626603001	5074	0
Sox4	Txndc17	-50	50	0.81709094173276	6958	0
Aes	Cnn2	50	50	0.780985067073912	8096	0
Mxi1	Stambp	-50	50	0.790573383800687	8406	0
Nfyb	Gpr89	49	49	0.895977256724335	10279.5	1
Irf5	Cd274	50	50	0.729173334493233	10394	1
Egr2	Naga	49	49	0.877892551993251	10826	0
Pbx2	Trappc10	-49	49	0.856938982367711	12788.5	0
Klf4	Arrb1	50	50	0.709517171984721	12823	0
Prkrir	Acsl6	50	50	0.710794969075427	12984	0
Klf4	Cd47	50	50	0.751154336806753	13101	0
Prkrir	Serpinb6b	49	49	0.837898320804394	13754.5	1
Dnmt3a	B4galnt1	50	50	0.710689729001573	13834	0
Aes	Itgb7	49	49	0.883896845030065	14640.5	0
Ifih1	Ctss	50	50	0.713830765494156	15247	0
Gfi1	Wipf1	50	50	0.704609388845504	17271	1
Aes	Crip1	49	49	0.802790845826986	17363.5	0
H1f0	Anln	49	49	0.753214101793658	17990.5	0
Tbx21	Gadd45g	50	50	0.662434863268441	19559	1
Egr2	Cox7a2l	48	48	0.903844838152072	20362	1
Trib3	Vegfa	50	50	0.750806820867843	20677	0
Irf4	Eif4e3	49	49	0.742180233336065	20862	1
Fosl2	Antxr2	50	50	0.673087980473956	21150	1
Irf4	Foxp1	-49	49	0.732941315482647	22338	1
Klf4	Enpp1	50	50	0.627457972065109	23737	0
Tal2	Acsl6	50	50	0.6204903386699	24523	0
Irf5	Ctla4	-48	48	0.821374807158393	24610	0
Nfkb1	Cd83	49	49	0.724927615709057	24725.5	1
Arid5a	Pdpn	50	50	0.639631641584278	25602	1
Nfatc1	Siah1a	-48	48	0.835055011009891	26553	0
Nfyb	H2afx	49	49	0.668385230544296	27575	1
Irf5	Peci	-50	50	0.640099352378411	27934	0
Dnmt3a	Pou2f2	49	49	0.730094730393965	28188	0
Nfyb	4933426m11rik	-48	48	0.876778628585487	29008	0
Arid3a	Ldlrap1	50	50	0.577908666688989	29796	0
Rara	Cd70	48	48	0.78321165044967	29883	0
Ing2	Papss1	49	49	0.657270744100935	30498.5	0
Prkrir	Tspan3	50	50	0.577238291820275	30985	0
Mxi1	Prkca	-49	49	0.644003586343375	31411	1
Stat2	Tnk2	-49	49	0.64590436494331	31715.5	0
Aes	Emb	48	48	0.797599642394721	32549.5	0
Egr2	Gltscr2	47	47	0.805431735416992	33386	1
Rara	Eomes	50	50	0.614486753407104	33815	1
Arid5a	Timd2	50	50	0.564668289308388	34034	1
Exo1	Gltscr2	-48	48	0.685324750019301	34188.5	0
Crem	Sh2d3c	-49	49	0.625349897830725	34345	0
Exo1	Anln	48	48	0.68925076224927	34862.5	0
Trib3	Gpt2	47	47	0.815940566817838	35093.5	0
Klf4	Pkp3	49	49	0.606198570568187	35470	1
Tbx21	Fam102a	48	48	0.688174508357306	35531.5	0
Ahr	Ehd3	-49	49	0.604328648976084	36987.5	0
Irf4	Nucb2	50	50	0.624202831604861	37827	1
Stat3	Cysltr1	47	47	0.74418948160073	38266.5	1
H1f0	Plekha1	-48	48	0.627640150380724	38535.5	0
Nfyb	S1pr1	-46	46	0.928201949480602	38800.5	0
Nfyb	Kdelc1	46	46	0.929722144651831	38940.5	0
Tbx21	Opn3	-47	47	0.755606630236644	39712	0
Aes	Bid	-47	47	0.810181416142607	39792	0
Hif1a	Pla2g12a	47	47	0.742131820744518	40130.5	0
Nfkb1	Arrb1	-50	50	0.525776367373022	40321	1
Cebpb	Slain1	48	48	0.663094846414455	40472	0
Rara	Penk	47	47	0.727984915475609	40645.5	0
Cebpb	4930420k17rik	47	47	0.712635361593183	41073.5	0
Trib3	Pck2	49	49	0.535958372936488	41211.5	0
Klf4	Fbxo18	48	48	0.63757424689033	41619	1
Stat3	Plod2	46	46	0.838743354369264	41732.5	1
Klf4	Abhd4	47	47	0.722981254670522	41744.5	1
Stat2	Fas	49	49	0.561660027135994	42177	1
Tal2	Srgn	-48	48	0.630565601620467	42190.5	0
Ift57	Cpox	46	46	0.845141742843113	42312.5	0
Trib3	Nupr1	49	49	0.598186512808611	43016.5	0
Runx1	Oxct1	48	48	0.641440689850461	43342.5	1
Exo1	4632428n05rik	-50	50	0.474685015166204	43382	0
Egr2	Map3k1	46	46	0.808407715117793	43520	1
Stat2	Cd274	50	50	0.503103981829861	44006	1
H1f0	H2afx	47	47	0.683992862891196	44110	0
Ift57	Kctd17	48	48	0.800990108980845	44130.5	0
Bcl3	Il12rb2	-50	50	0.501036385199054	44825	0
Aes	Itpr3	46	46	0.79767802579147	45314.5	0
Aes	Pgm1	48	48	0.581286619689256	45354.5	0
Prkrir	St14	47	47	0.681538480697867	45381	0
Ahr	Inpp1	-48	48	0.611385568274157	45468	0
Stat2	Cd84	48	48	0.679336276299465	45579	0
Irf4	Vim	47	47	0.647650013734832	46178.5	1
Egr2	Zbed4	-46	46	0.795730587236602	46432.5	0
Klf3	Ifit2	49	49	0.526993079285106	47801.5	1
Aes	Aen	-46	46	0.760612881430226	48148	0
Klf4	Tubb2b	47	47	0.638728133000099	48487	1
Nfatc1	Zmat3	48	48	0.615395353581003	48923.5	1
Mxi1	Abcb1b	-47	47	0.631091933866583	49055	0
Stat3	Rnf19b	47	47	0.653029649651343	49566	1
Klf3	Gbp2	47	47	0.724026277991272	49963	1
Tbx21	Gpr146	46	46	0.773173883879678	49995	0
Klf7	Mt2	49	49	0.517590509585642	50300.5	1
Mxi1	Mafg	47	47	0.802086129206673	50592	1
Rara	Nrp1	47	47	0.672857092494249	50678.5	1
Tef	Ms4a4b	49	49	0.537855816971069	50681	1
Pcbp4	Rel	-46	46	0.792236260209423	51331	0
Creb1	Frmd4b	-46	46	0.671163107182864	51946	0
Satb1	Lpp	46	46	0.726385796916278	52019.5	0
Tbx21	Spsb1	47	47	0.629320827045274	52057.5	1
Rxra	Ier3	49	49	0.537696737343237	52863	1
Nupr1	Batf3	49	49	0.475948110135255	53227	0
Batf3	Sdcbp2	47	47	0.630031265584868	53479	1
Klf4	Bc021614	45	45	0.83745483870791	53633	0
Stat2	Cpd	-47	47	0.617915286845396	54275	1
Tal2	Rxra	49	49	0.485902356939048	54381.5	0
Inhba	Fam129b	46	46	0.7036483848668	55354.5	0
Rara	Cadm1	49	49	0.483276984822309	55505.5	0
Hmgn1	Dhrs4	48	48	0.533685355347067	55652	0
Egr2	Fastkd2	-45	45	0.837077943304594	55730.5	0
Stat2	Erap1	46	46	0.720295130659637	55756	1
Egr2	Map4k4	46	46	0.644179403529045	55860.5	1
Cebpb	Vav3	46	46	0.667144171943877	56736.5	1
Ing2	Hmgcl	47	47	0.628178968272249	56762	0
Mxi1	Vav3	-45	45	0.759670960311553	57063	0
Nfyb	Gemin6	44	44	0.887125260720695	59231.5	0
Gata3	Map3k14	48	48	0.531726416886555	59247.5	1
Crebbp	Qrich1	45	45	0.851664569742352	59673	0
Nfkb1	Cd44	47	47	0.605490017751203	60064.5	1
Rxra	Serpine1	49	49	0.458934700854026	60365.5	1
Egr2	Arl4c	45	45	0.713851743409341	61162	0
H2afx	H1f0	45	45	0.708365900993448	61275.5	0
Exo1	Socs2	46	46	0.624823377725582	61495	0
Tbx21	Socs3	46	46	0.608859303792171	61899.5	1
Arid5a	Cldnd1	45	45	0.683450668787492	62105.5	0
Foxo1	Eomes	50	50	0.41691827339426	62401	1
H1f0	Zadh2	44	44	0.801126201950016	62764.5	0
Mxi1	Myo10	46	46	0.588542193439577	63243.5	1
Nfyb	Adrb2	-44	44	0.897185108347883	63807	0
Klf4	Il10rb	46	46	0.644542609432609	64866	1
Stat4	Ly6a	47	47	0.582263450762431	65091	1
Nfyb	Rsad2	-44	44	0.777765228151222	65435	0
Rara	Dhrs3	48	48	0.502598715881792	65525.5	1
Rxra	Ndrg1	47	47	0.547676804007187	65599	1
Pou2f2	Dip2b	45	45	0.768896717690735	67191.5	1
Arid3a	Zadh2	44	44	0.727971287559108	67358	1
Nfyb	Galk1	43	43	0.897437952597758	68128	0
Stat3	Gatm	44	44	0.79370026299908	69223	0
Irf5	Inpp5b	-47	47	0.448607252190975	70008.5	0
Stat2	Ifih1	46	46	0.555532639903953	70457.5	1
Irf4	Gpsm2	45	45	0.715579312969718	70819	1
Prkrir	Tg	44	44	0.696949594833527	71218	0
Fosl2	Sorl1	47	47	0.50636025479922	71381	1
Inhba	Ptprj	45	45	0.586103163345975	71747.5	0
H1f0	Rdh11	44	44	0.673493857083439	72236	0
Stat2	Ptprc	45	45	0.616209749783479	72356	1
Stat3	Il24	45	45	0.596827323173034	72889.5	0
Exo1	Retsat	46	46	0.49065311866596	73933.5	0
Nupr1	Trib3	44	44	0.74688862535566	74049.5	0
Mxi1	Fbxo18	-43	43	0.756738016688245	74342.5	1
Hmgn1	Ypel3	-44	44	0.669661879774673	74996.5	0
Fbxo18	Ascc1	46	46	0.491012683415734	75015	0
Dnmt3a	Trp53i13	-46	46	0.501694709467359	77028	0
Bcl3	Ppp1r10	47	47	0.497889497102791	77187.5	1
Bcl3	Fam49b	-45	45	0.602046008812175	78133	0
Rpa2	Fam111a	42	42	0.883776400585758	78135.5	0
Nfyb	Pik3ca	-42	42	0.8779585706187	78163.5	0
Ifih1	D730040f13rik	47	47	0.476820907076856	78248	0
Cebpb	Il2ra	-47	47	0.435171601236318	79401.5	1
Nfe2l2	Gem	43	43	0.751872711463831	79470.5	0
Stat2	Psme1	44	44	0.631449779011522	79493	1
Klf4	Rnf181	44	44	0.61542556700485	79811	0
Nfatc1	Ptger2	44	44	0.637459178442487	80187.5	1
Ifih1	Trat1	44	44	0.616446054132832	80638.5	0
Naca	Rpl14	46	46	0.528740718213262	80656	0
Myb	Slc39a8	44	44	0.605209515996923	80767.5	1
Tcf12	Cmas	-44	44	0.617140227371962	81225	0
H1f0	Trpv2	43	43	0.680983937235929	81868	0
Maff	Smarca2	-43	43	0.717282378471877	81983	1
Fosl2	Ss18	44	44	0.604990089457851	82603	1
Exo1	Tef	-43	43	0.785605815033314	82609	0
Myb	Ikbke	-44	44	0.632473454380439	82821	0
Prkrir	Ercc5	45	45	0.544270819535921	84120	0
Egr2	Rell1	42	42	0.710001499268836	85750.5	1
Sox4	Acy1	-43	43	0.657128696326811	86076.5	0
Egr2	Cbx4	43	43	0.656527026094475	86105	1
Stat4	Etv6	47	47	0.408091879451073	87186.5	1
Rara	Pkp4	45	45	0.516106442262321	87564	1
Exo1	Cenpm	41	41	0.88903530604934	89145.5	0
Ifih1	Il3	45	45	0.498864396237061	89611.5	0
Rara	Csf2	43	43	0.616900602315937	89748.5	1
Cebpb	Gnpda1	-43	43	0.650645786444092	89789	0
Dnmt3a	Rab7l1	-43	43	0.607932865489533	90409.5	0
Klf3	Tapbp	46	46	0.390313847489561	90803	0
Ifih1	Ms4a4c	45	45	0.469059911092647	91818	0
H2afx	Gtse1	46	46	0.394615943474886	92053	0
Klf4	Bcl2	45	45	0.508803508998222	92053.5	1
Pou2f2	Cnot1	43	43	0.696355546231108	92210	0
Stat4	Gypc	-44	44	0.530501890088623	92818	0
Rora	Il24	44	44	0.519252405814757	93701.5	1
Stat3	Kif3a	41	41	0.750548306809363	94428	1
Vax2	Maff	-43	43	0.5623300855584	95632.5	0
Nfil3	Npc2	42	42	0.662664038902959	96491.5	0
Klf4	Ddx51	-41	41	0.732562263008092	96527.5	0
Prkrir	Itih5	43	43	0.556216329817465	96592	0
Nfyb	Vdac1	41	41	0.704727564157504	96681.5	0
Stat2	Psme2	41	41	0.730428433382962	97574.5	1
Stat2	Phlpp1	46	46	0.387453492562364	97614.5	1
Cebpb	Lpin2	43	43	0.518719971315511	97735.5	0
Rxra	Ube2v1	47	47	0.35321316936587	97970	1
Irf4	St14	46	46	0.401111793337876	98634.5	1
Tbx21	Arid5a	42	42	0.61161964611899	98711	0
Rara	Ifih1	43	43	0.531881092687295	99090	1
Gata3	Egr3	47	47	0.267767000378871	99482.5	1
Maf	Alpk2	-40	40	0.805987412025676	99864.5	1
Irf4	Smg5	-44	44	0.470625791933409	100309.5	1
Creb1	Sgk1	-41	41	0.643734141357217	100513.5	0
Stat2	Kctd14	-40	40	0.854098172544278	100906.5	0
Nfatc1	Sqle	40	40	0.821470902637952	101119	0
Gata3	Ppm1d	46	46	0.406572789302947	101375	1
Cebpb	Slc16a6	-43	43	0.579143443583395	102129.5	0
Cebpb	Trat1	44	44	0.454650915087604	102546.5	1
Pbx2	Hlcs	42	42	0.579791792579833	102665	0
Stat4	Gbp2	44	44	0.475069351359965	103341.5	1
Dnmt3a	Arid5a	-43	43	0.494586605014847	104008.5	0
Sox4	Adipor2	44	44	0.382980745432753	104192	1
Hif1a	Ero1l	41	41	0.643767059097012	104290	1
Aes	Zfp568	-43	43	0.506635979024102	104648	0
Ahr	Herc4	-44	44	0.477474432271099	104698.5	0
Nfkb1	Utf1	43	43	0.534493081926446	104701.5	1
Aes	Acox1	40	40	0.82140925850242	105144	0
Tal2	Tesk2	43	43	0.521459070728535	105612.5	0
Rara	Wisp1	41	41	0.632061492191471	106099	0
Batf3	Alpk2	40	40	0.7001400811682	106191.5	1
Klf4	Zfp568	-43	43	0.475386229223908	107408.5	0
Sox4	Ppp3ca	42	42	0.512893182354109	107549.5	0
Mxi1	Ermp1	-41	41	0.654106308055908	107588.5	0
Myb	Agpat3	41	41	0.537357911571465	107679.5	0
Sap30	Ralb	40	40	0.68881379302227	109220.5	0
Rxra	Penk	44	44	0.420929537691846	109356.5	1
Aes	Capn2	41	41	0.614190525421151	109384	0
Nfkb1	Sorl1	-41	41	0.58684422884972	109584	0
Sap30	Xpnpep1	42	42	0.501726795366609	109826.5	0
Aes	Dnmt3a	-40	40	0.670569333356511	110040	0
Mxi1	Abcd3	-42	42	0.466020961593012	111305.5	0
Stat3	Mt2	43	43	0.393482311366258	111437	1
H1f0	Idh1	41	41	0.572890389827251	111475	0
Inhba	Anxa3	42	42	0.472980083877889	111789.5	0
Pbx2	Maff	-41	41	0.55974062295412	113321.5	0
Arid5a	Tmem176a	42	42	0.454554761569108	113512.5	0
Myb	Timp1	42	42	0.48474742639647	114038.5	0
Zfp239	Ccbl2	40	40	0.617853575377927	114360.5	0
Egr2	Mtss1	42	42	0.464598545599348	115847	1
Rxra	Basp1	41	41	0.546413713815876	115899	0
Zfp36l1	Gripap1	39	39	0.708126695854731	116109	0
Ikzf3	Cyfip2	42	42	0.463893525825247	116276	0
Hif1a	Egln1	42	42	0.496247935575535	116282.5	1
Inhba	B230312a22rik	41	41	0.540668521407623	116388	0
Ercc5	Cd80	45	45	0.294286022417925	116894	0
Runx1	Myo18a	42	42	0.500854586897737	117236	0
Trib3	Gys1	39	39	0.659865396449914	117508.5	0
Tef	Pten	44	44	0.359821526004044	117575	1
Nfatc1	Ergic1	40	40	0.587723206609983	117746	1
Mafg	Fez2	40	40	0.588711859341754	117785	1
Stat3	Maged2	40	40	0.666465024070033	117922	1
Egr2	Clk3	39	39	0.69278868148616	118078	0
Irf4	Fam111a	39	39	0.682672753702257	118242.5	1
Rora	Piwil2	40	40	0.519207462783073	118529.5	0
Klf4	Ncdn	-39	39	0.685277569309573	118615.5	0
Exo1	Nedd9	-40	40	0.603275667215023	118870.5	0
Max	Asnsd1	41	41	0.473379879169676	118882	0
Prkrir	Traf6	-40	40	0.621361327198456	119164	0
Exo1	Dtl	39	39	0.62076293049165	119280.5	0
Batf3	Myo10	39	39	0.667337315633086	119515	1
Stat2	Ccl5	44	44	0.348715816022033	119610.5	1
Zfp239	Ltb	-41	41	0.605266298762452	119793	0
Exo1	Sqstm1	-42	42	0.428111657056558	119959.5	0
Sox4	Vps37b	41	41	0.503521115676819	120244	0
Max	Nfe2l2	-41	41	0.510899606825816	120480	1
Pknox1	Picalm	42	42	0.455099127022867	120537.5	1
Dnmt3b	Nefh	42	42	0.446725670917921	120823	0
Creb1	2010002n04rik	-39	39	0.697632113413742	121010.5	0
Gfi1	Tspan6	-39	39	0.630681396783693	121406	0
Cebpb	Lsp1	39	39	0.666199636868678	121570	0
Max	Cd86	-42	42	0.43303605975227	121600.5	1
Egr2	Smyd5	-38	38	0.796837363392294	121682.5	1
Hmgn1	Hspa4l	-42	42	0.430652164036099	122537.5	0
Gfi1	Xdh	42	42	0.43232163210913	122540.5	0
Myb	Arhgef3	-38	38	0.781173765329553	122856	0
Stat3	Stx7	38	38	0.816888397776233	122903.5	1
Irf5	Pyhin1	40	40	0.545186430416494	123199.5	1
Stat3	Pcbp4	40	40	0.5550978357316	123635.5	1
Rara	Cyr61	42	42	0.403646849505553	123661.5	0
Irf4	Cd70	40	40	0.552827359859487	123814	1
Satb1	Rnf19b	43	43	0.392561328386642	123916	0
Hopx	H2-q10	39	39	0.617937011388311	123976	0
Egr2	Sms	-39	39	0.62401788503797	124099.5	1
Mxi1	Map3k14	44	44	0.333073211499101	124492	0
Cebpb	Lta	-40	40	0.583883509633835	124921.5	0
Son	Tspan3	-41	41	0.47974360134222	125148.5	0
Tal2	Serpinc1	40	40	0.504600650879576	125253	0
Klf7	Nrip1	-43	43	0.359224660706262	125964	1
Ets2	Gsn	38	38	0.739701649059653	126577.5	0
Klf4	Idh1	41	41	0.458029497934387	127136	0
Egr2	Fosl2	41	41	0.472568489850424	127235	1
Mafg	Aldh3a2	38	38	0.686026009506365	127731	0
Stat2	Map3k5	41	41	0.506254726268192	127964.5	1
Bcl3	Ccl1	41	41	0.417932832843242	128056.5	1
Ahr	Epsti1	-40	40	0.505241213755466	128351	0
Nfatc1	Skil	-37	37	0.855560106554306	129407.5	0
Runx1	Nsmaf	41	41	0.399672096294539	129793.5	1
Klf3	Slc48a1	-40	40	0.515560507157257	130037.5	0
Stat2	Samsn1	43	43	0.355083305367366	130039	1
Maff	Nek6	42	42	0.346684018093195	130455.5	1
Myb	Itm2a	-38	38	0.671305200067961	130504	0
Mafg	Slc9a3r1	43	43	0.303580011376789	130511.5	1
Lrrfip1	Tnfrsf25	42	42	0.378423708132756	130692	0
Stat3	Ttc39c	40	40	0.519095347587228	130805.5	0
Ddit3	Tns1	45	45	0.260962582686914	130916	1
Egr2	Polr3gl	37	37	0.757470263805473	131325	0
Batf3	Armcx2	-39	39	0.583245503320719	131382.5	0
Ifih1	Tnfrsf13c	43	43	0.281513875069834	132140	0
H1f0	Pck2	39	39	0.548334355393282	132414.5	0
Dnmt3a	B4galt1	-38	38	0.685164937395331	132768	0
Bcl3	Nfkbie	40	40	0.476985894110606	132820.5	0
Exo1	Fyn	-38	38	0.633332031687305	132978	0
Ets2	Hmgn1	-39	39	0.54285410449079	133194	0
Prkrir	Klf10	-40	40	0.458391302590289	133452	0
Nfatc1	Psrc1	38	38	0.695396470279586	133757	1
Gata3	Tmc6	42	42	0.369236821218721	133790.5	1
Rxra	Sra1	44	44	0.243265555059348	134281.5	1
Rxra	Grina	39	39	0.524580306847497	134564.5	1
Exo1	Arhgap17	-40	40	0.474272822110927	134881.5	0
Trib3	Rnf181	42	42	0.368421574103421	134964	0
Kdm2b	Avpi1	-38	38	0.602048126192996	135476.5	0
Irf5	Ndufv3	-39	39	0.505087383851123	136025	0
Pou2f2	Smarca2	38	38	0.585073166725883	136580	1
Klf4	Sytl1	40	40	0.471967210272809	136698.5	0
Fli1	Pgs1	-40	40	0.486522668021958	136699	1
Nfyb	Rpn1	37	37	0.718189002443977	136730.5	1
Ifih1	Fap	39	39	0.578279419630037	137563	0
Klf4	Sla2	40	40	0.428716686075215	137797	0
H1f0	Tlcd2	37	37	0.670066065144056	137825.5	0
Dffb	Athl1	-41	41	0.339158157490153	137983	0
Aes	Sptlc1	-38	38	0.573764141738359	138009.5	0
Cebpb	Tsc22d1	41	41	0.395939692775543	138868	0
Stat3	Nfil3	40	40	0.440241931550437	138931.5	1
Irf4	Piga	40	40	0.422644342890259	139849.5	1
Myb	Cd9	-37	37	0.637763739126592	140067.5	0
Tcf12	Enpp1	-38	38	0.55693868997058	140737.5	0
Batf	Adam9	40	40	0.396009294147196	141021.5	1
Lef1	Sidt1	38	38	0.542678971140965	141224	1
Xrcc5	Tprkb	37	37	0.656854124816603	142538	0
Pou2f2	Hspa4l	43	43	0.260886190571	142551.5	1
Runx1	Tspan13	39	39	0.461748965377755	142863	1
Pou2f2	Sidt1	36	36	0.719289469334992	142928	1
Egr2	C630004h02rik	37	37	0.624412828705008	142998	0
Lef1	Sema4d	-43	43	0.235221547230944	143007.5	1
Nfkb1	Hsd17b7	40	40	0.401937169548794	143242.5	0
Prkrir	Eno3	39	39	0.464209891511866	143275.5	0
Atf6	Lad1	-36	36	0.669297277358553	143329	0
Mxi1	Rara	40	40	0.365437848362866	144187	1
Stat2	Gimap4	38	38	0.537976238174254	144308.5	1
Maff	Mafg	37	37	0.626686345149972	144449	1
Nupr1	Sars	37	37	0.5895182743161	144716	0
Nfkb1	Stra6	41	41	0.345958563735459	144724.5	1
Irf4	Zfp362	39	39	0.44035405772405	144948	1
Rpa2	Haus8	38	38	0.514287672410814	144987.5	0
Runx1	Ick	40	40	0.403579613186192	145162.5	1
Cebpb	Reps1	41	41	0.308653216757614	145173.5	0
Rxra	Ggta1	42	42	0.282126024921885	145234.5	1
Gata3	Hexim1	40	40	0.406673815889333	145379	1
Chd7	Satb1	36	36	0.679052352420202	146111	0
Impdh1	Tmem173	-37	37	0.612148726757826	146394	0
Tef	Cltb	-38	38	0.481219325935572	147007	0
Cebpb	Cbx4	40	40	0.385728385479132	147499	1
Crem	Rnf149	37	37	0.556234328776538	147593.5	0
Egr2	Aes	37	37	0.49002351399033	147809.5	1
Tbx21	Arhgef10	38	38	0.496447815063176	147820.5	1
Satb1	Mapkapk2	37	37	0.551998959240251	148194	0
Nfatc2	Runx1	37	37	0.557187818064341	148422.5	0
Klf4	Mfge8	39	39	0.411873094546245	148435	1
Ets2	Padi2	37	37	0.574364017252744	148593.5	1
Stat4	Evi2a	-39	39	0.383246538103692	148764	0
Stat4	Atf6	40	40	0.362883178714572	149653	0
Nfyb	Il12rb1	35	35	0.826263985103164	149669	0
Nfyb	Epc1	-35	35	0.713785264915232	150038.5	0
Rxra	Wisp1	39	39	0.422854749171833	150073.5	1
Satb1	Cutc	-36	36	0.613153641424575	150532	0
Tcf25	D19wsu162e	39	39	0.405493508355415	150589.5	0
Myb	Fasl	-38	38	0.418105854628906	150819.5	0
Egr2	Tacc2	-37	37	0.541643134969895	151119.5	1
Klf4	Unc119b	36	36	0.614016302581807	151327.5	1
Ifih1	Cd74	37	37	0.497857909219467	151953	0
Aes	A430005l14rik	-36	36	0.73281391066781	152543	0
Impdh1	Pomt2	39	39	0.397805461322481	152618.5	0
Irf4	Cdc25b	35	35	0.785470299617218	152948	0
Klf3	Rab7l1	40	40	0.349274098831204	153129.5	1
Myb	Nek6	36	36	0.671631908125545	153241	1
Trib3	Ddit3	35	35	0.692868955646988	153390.5	0
Ets1	Otud7b	41	41	0.268797383827908	153468	1
Irf4	Ccnd3	35	35	0.671619809105674	153531	1
Irf4	Clybl	37	37	0.471292388213178	153695.5	1
Rxra	Vax2	42	42	0.200342553160578	154285	1
Nfatc2	Rcl1	35	35	0.710178834194463	154543.5	0
Batf	Inhba	36	36	0.601029011148293	154820.5	1
Zfp36l1	4632428n05rik	39	39	0.385028321631364	155511	0
Satb1	Rrad	36	36	0.532315057176872	156175	0
Rara	Ctla2a	-35	35	0.62284487973173	156680	0
Egr2	Eif4e3	35	35	0.650148351135815	157335.5	0
Ets1	Max	40	40	0.319304074781581	157346	1
Mafg	Emp3	36	36	0.590310216724725	157585.5	0
Dnmt3a	Flt3l	-36	36	0.450676814912592	157592.5	0
Klf4	Itih5	36	36	0.572053396426165	158168.5	1
Rxra	Cd80	41	41	0.235012841996998	158791	1
Creb1	Hif1a	-36	36	0.521971426726228	158888	1
Lef1	Max	39	39	0.322397572043516	159256	1
H1f0	Klhdc5	-37	37	0.467655914947497	159428	0
Smarca2	Kctd12	34	34	0.795784894833424	159690.5	0
Fosl2	Foxo1	37	37	0.453405476541504	160005	1
Prkrir	Pla1a	36	36	0.523312607974522	160040.5	0
Prkrir	Serpine2	35	35	0.629650157439356	160127.5	0
Egr2	Rcl1	-34	34	0.750013318334907	160340	0
Prkrir	Tlcd2	39	39	0.324007738988363	160378.5	0
Klf3	Ms4a6c	36	36	0.508299367448373	160443	0
Fosl2	Spsb1	38	38	0.39553706795112	160488.5	1
Fbxo18	Ing2	37	37	0.468711931492077	160534	0
Gfi1	Ahr	-39	39	0.333127659942971	160764.5	0
Mxi1	Abhd4	-35	35	0.608829387626977	160787	1
Exo1	Nedd4	36	36	0.537231387892543	160855.5	0
Etv6	Ehd3	37	37	0.457941730483925	161080	1
Son	Gtse1	-39	39	0.325394039829111	161157	0
Stat3	Lpxn	37	37	0.431009923698322	161518	1
Ahr	Srpk2	-34	34	0.722978466017591	161759.5	0
Akna	Cmah	34	34	0.736991663381642	161789.5	0
Egr2	Sema4a	34	34	0.771602944641775	161923.5	1
Egr2	Nefh	-35	35	0.589566957858985	161931	0
Pbx2	Map4k4	-34	34	0.712620601778837	162021.5	0
Dnmt3a	Dnmt3b	34	34	0.721001508294842	163205	0
Irf4	Crip1	37	37	0.423646291403667	163248.5	0
Rxra	Gsn	38	38	0.343328056131945	163615	1
Pou2f2	Dnmt3b	-36	36	0.477252439224865	163660	1
Nfil3	Rorc	-36	36	0.488222031664468	163704	0
Bcl3	B3gnt2	40	40	0.269802675335408	163868	1
Creb1	Furin	-35	35	0.535827762128209	164061.5	0
Ahr	Naca	37	37	0.471734601476771	164090.5	0
Klf4	Stard10	35	35	0.488347455946682	164608.5	0
Rara	Ripk3	-35	35	0.538845215748843	164883	0
Ifih1	Isg20	36	36	0.523926001014406	164973.5	0
Ppp1r10	Papss1	-37	37	0.410241421977795	165257	0
Nfe2l2	Picalm	36	36	0.486819520979257	165376.5	0
Mxi1	Cyp51	-36	36	0.444937184580003	165488.5	0
Klf4	Prpsap2	-36	36	0.452946043551256	165656.5	1
Rxra	Cd9	38	38	0.378853847522129	165865	1
Egr2	Sh3bp1	34	34	0.6418519596107	165982	1
Akna	Tmc6	36	36	0.485902467234035	166556	0
Stat2	Tspan2	-37	37	0.414463524626465	166722	1
Ifih1	Ifi203	35	35	0.560515434603786	166769	0
Tbx21	Sertad1	34	34	0.621372972503811	167018.5	0
Rxra	Prnp	39	39	0.285346845685525	167244.5	1
Rara	Apobec1	37	37	0.400033148515355	167389	1
Nupr1	Pafah1b3	37	37	0.401240707937874	167611	0
Nfkb1	Plagl1	38	38	0.36025422813428	168006	1
Id2	Tiparp	37	37	0.394178314629393	168125.5	0
Gata3	Pbx2	39	39	0.295952496134425	168351.5	1
Batf	Il10	35	35	0.532579650666732	168358	1
Fosl2	Pmepa1	36	36	0.456313701308262	168534.5	1
Gfi1	Rilpl2	36	36	0.454563534298802	169015	1
Crebbp	Hexim1	36	36	0.458036961330395	169418.5	0
Irf4	Hk1	39	39	0.261562572016303	169868	1
Pcbp4	3110003a17rik	-35	35	0.456741444050356	170346	0
Creb1	Kctd14	-34	34	0.626554410124485	170539	0
Gfi1	Gimap7	34	34	0.613419935249614	170557.5	0
Runx1	Ccr7	38	38	0.330759499256908	170721.5	1
